v,w
0.4445686552727842,-1.016954022818998
0.48288192911525124,-1.0260059622983715
0.6144200995997782,-0.9624151512553609
0.6649978893173407,0.9833197380353937
0.6878567722780901,1.057158623860144
0.6687186758704513,1.1347352042235586
0.6333396851125285,1.2574067627904493
0.5706734772477513,1.3435488425369844
0.45992149737477156,1.436077618408412
0.3468005194750806,1.520844765360992
0.2132643594863641,1.5775720089015524
0.09256536649408137,1.6018566119047162
0.024360433367060296,1.5887485880403354
0.00983137885740784,1.5039676387549898
0.13890000828000462,1.3332233751647047
0.3202589270597428,1.1379737827282144
0.5007909639031045,0.9071215841452969
0.6507209376169183,0.6354470314477144
0.6858247941297042,0.43715272305328357
0.6406844762727687,0.26102683471643756
0.5743424655598116,0.15938987504742594
0.48733547595851784,0.10953538927217549
0.4010900604768543,0.06458790209589739
0.0006110600270629279,0.9152507544084891
0.0017817339047878943,0.9112564074695035
0.018805041316993912,0.8582694511303832
0.06632717149667107,0.7680607513994223
0.1643431621181716,0.6549762367829803
0.21258379674588668,0.5783409014263855
0.2468250875319952,0.5062691738887772
0.2852299560868131,0.46348184505986284
0.28740874462799465,0.4043210139695453
0.38487131578230527,0.25500721835503487
0.3615431041964105,0.1724835496816729
0.44238627940146463,0.011575892640637108
0.3722361710540324,-0.008252275476565258
0.4306920757368045,-0.08356803136791406
0.42164367376796,-0.07702014251215156
0.36007031396971895,-0.05496681482972604
0.4369563523084768,-0.05327120921554261
0.42155094679065314,-0.041386877509856916
0.43173863524678524,-0.031690953727138045
0.4473300672827349,-0.01734393768057104
0.3926889790547901,-0.014957447493651854
0.43741239811376087,-0.0076565549448978695
0.4463248688589467,-0.0037776264197444858
0.45295562894972996,-0.002226311738016543
0.38554753375873513,-0.0027327578925352477
0.42952836769424957,-0.0019760908837900527
0.4570560624884588,-0.0021724569911556967
0.4510145725629178,-0.005594986611269117
0.44965110665746955,0.00324727234786948
0.42968611284574443,0.005884394875564195
0.4503510981376712,0.004916612565523866
0.45984558019726485,0.005913363300183953
0.4027490826054703,0.005882990118704287
0.4451477641618974,0.0010711985979693014
0.44677010190328803,0.0020346599974933764
0.4673304518412558,0.001820373161937287
0.39874058906975385,0.002755594838017749
0.46353524773060284,-0.0018474457679932622
0.4531723635649664,-0.001507505108798359
0.45997979109743814,-0.001742768153917748
0.4607051366380664,0.0027906038135101945
