v,w
-0.3308590133596027,-0.651902020932124
-0.3432912797656659,-0.6640923234070877
-0.3729597424644108,-0.7020194259076037
-0.3822728374028172,-0.7331024214575809
0.4835097900570766,0.13744731436821164
0.5539247049645776,0.08515354814190908
0.5094936852846407,0.07503425914874416
0.46178385625301716,0.07829429653500974
0.4791809571217518,0.07397202483555589
0.4877251557513016,0.06925251838295617
0.4226835942092639,0.07371615995969336
0.48767380420580564,0.05569821765058436
0.495877054600592,0.046441606877503296
0.43913027866723103,0.048559188634552976
0.4954104510085146,0.016941148150231605
0.4951508977015916,-0.005852238370109417
0.4884116947463881,-0.05380317599458041
0.36270207909950286,-0.2249643019366189
0.23446653937680745,-0.3254543982458771
0.22359653360154336,-0.32895312490597123
0.22398464065551488,-0.3329068305053809
0.2415184322247652,-0.3173111437169391
0.25058062545910686,-0.3152199180767139
0.2663960462320424,-0.29917969180069126
0.28319261785169836,-0.2970572740360968
0.2962790741719092,-0.2771233378328668
0.30599348687752814,-0.27215570349738344
0.3166275996110408,-0.2629097775556154
0.34009895999145495,-0.25906138933571565
0.3359856589839098,-0.24685121984852942
0.35800147095237517,-0.23910306642518858
0.3476690078096615,-0.2294207268713262
0.38353737424290385,-0.22128113164824717
0.3645176056584348,-0.21167566488075004
0.3870328708840137,-0.2006006087965233
0.40712126024527645,-0.19725860269842402
0.37508700266928097,-0.20094763535682042
0.39136953724896806,-0.19900927381675218
0.39200707499192666,-0.19565155098203832
0.4201431754858488,-0.18203845711208666
0.39692017049174294,-0.18357589356835816
0.42308711360234,-0.16732968725318145
0.41560602444295913,-0.15869707654932536
0.43965000917875807,-0.137029947477143
0.45988921601204413,-0.11299259773352324
0.4732831035571007,-0.0879338673718311
0.47962203400303155,-0.06121985898908786
0.4906431535878656,-0.03186161296871923
0.5032017705378534,0.018964658210131217
0.4447509443532729,0.023940024500975435
0.207688598270681,0.34379547933740856
0.1701517693777517,0.3646609642510325
0.14174533200478262,0.38478702513621704
0.14123037045031353,0.38785016929990135
0.1657998732995752,0.3721131315161262
0.18879160167475728,0.3567878758466408
0.2061486895777994,0.34425307202951344
0.21872714592994275,0.33408422039497065
0.22234228259434585,0.33868714934851485
0.24023464074988118,0.3248031078311749
0.259443158610589,0.3090115391040862
0.27734823902547984,0.29156626998764607
0.2960742052640777,0.28888264596538454
0.3017109564633385,0.28037269567925766
0.2937759503030669,0.27971111171393315
0.2955650495229005,0.28754323590304026
0.2865114277605697,0.2886122818270102
0.27917403497158744,0.28930478934256215
0.29366494820653316,0.2874873469287512
0.2904639894656662,0.28179631445403
0.3222486085768407,0.2691633049247785
0.3220279715316196,0.25905991079856394
0.35242371800375527,0.2436407495777847
0.34554918657635714,0.23837280587202903
0.3668940630062612,0.22415682477506862
0.3479302154615222,0.22066758550948687
0.39964157012597695,0.1919192172240677
0.4150272887071534,0.1760535593706225
0.42282956080299006,0.16219144823641887
0.4612056574008928,0.13608004713369065
0.4273201827219409,0.13514072992678583
0.47108427625090726,0.09575788586826549
0.49448194921793776,0.0705544759167578
0.4513800026875528,0.06956029630174515
0.49758354363038376,0.036887934677391175
0.45489729153981734,0.036142984435129984
0.5191366517191591,-0.0008352293200272731
0.4761673080058741,-0.0029325628270602004
0.5024146910259824,-0.025906665725490198
0.445481487828387,-0.02807208031326884
0.5036873314094236,-0.047746568802064064
0.4483750163437167,-0.05052241055462595
0.5086284253271355,-0.06097430589727089
0.4641745048833029,-0.06154521682949551
0.46924273294115915,-0.06159977816411287
0.48827276315704154,-0.059469192020318265
0.5005326365431416,-0.05663317105071994
0.4555244794324862,-0.05849765413210946
0.5023420123757102,-0.052298331466291446
0.45972974974780506,-0.052956270931949385
0.49530984246438076,-0.04503242839483449
0.44056940433569663,-0.04626762387082612
0.49804715808162264,-0.03291225230339681
0.46604763458030274,-0.03255140833365956
0.5107295087667071,-0.022439265416780062
0.4659182851397013,-0.02216668861363259
0.4978140530020906,-0.013189760618143203
0.5112635440071669,-0.00742918809550361
0.45157331278021606,-0.00733860271081362
0.49504717924875846,-0.00020307249707134093
0.5092204492523063,0.004413437718523531
0.4617025112718062,0.004899013432865306
0.49322765822054915,0.00984110678261824
0.49512638559532296,0.012699584672760129
0.4946411188196455,0.014825305631274857
0.5059078101908673,0.01619844300015034
0.45832063599064804,0.01687506679919936
0.49086993364494036,0.016704112053503646
0.5048282188348242,0.016771802915912407
0.4574062448556078,0.017100088283226386
0.48847589530699115,0.01737230003799892
0.491363459693495,0.018346842022285093
0.4932062735013499,0.017940893589566364
0.49571173896500886,0.01436656653020296
0.49847282099174095,0.010246770696212087
0.5100736157267337,0.008434411233157373
0.46194252585159834,0.008795947619334651
0.4835491467937129,0.005562822874866383
0.49803909232783267,0.0038298051550924054
0.5098771232594683,0.0006204803157921929
0.4617917130615699,0.0006911331017086196
0.4932305574798909,-0.009450286256310487
0.510584943622179,-0.023741282271584372
0.4630397811429595,-0.02532697947804484
0.492363285213851,-0.053590540948181074
0.4591016789024048,-0.05596015745628136
0.4806005355642592,-0.08144869811127158
0.46377593837752185,-0.10264688797671612
0.4666494239603782,-0.12270153551585225
0.43721899235254785,-0.12533878455060113
0.4469894611541217,-0.15303969745122917
0.41284195903740084,-0.15646489549273154
0.41672300560993986,-0.17297295299318927
0.41113041525388677,-0.17846526224608134
0.40689680835194686,-0.18374814206328594
0.40197753489417826,-0.1931434948726098
0.38269738560201993,-0.1953804140468712
