v,w
0.04056205755987202,-0.38994776970185346
-0.19175639853817686,0.5284001714920152
-0.23186755305518586,0.5405156013930147
-0.10631125867450701,0.5029214254608285
0.05640236394957543,0.4544465769289492
0.1545612731874685,0.4251356730653206
0.24485499827809218,0.397685325141389
0.30861348468139066,0.37724091929993553
0.3498681952668828,0.36245976384468664
0.4133266527464371,0.34269914330691736
0.44867141080361417,0.33162406371096664
0.5125345707082128,0.3088651497308305
-0.38572428332313347,-0.585834643992605
-0.6019540663290383,-0.6517258370843702
-0.43138060957603597,-0.6028507331540753
-0.25999416227996147,-0.5519334773239993
0.09027517320623339,-0.444533105295236
0.23642398207458692,-0.40093564644933494
0.3096016407262557,-0.37786837040349325
0.3462895924707245,-0.3651914492646862
0.35946191225431073,-0.3593743417627943
0.3923721055836281,-0.35044205710759396
0.39923893637001684,-0.34507385405539887
0.5340606216304122,-0.30120384268085304
-0.607560631303823,0.6623169222398214
-0.6789440329663278,0.6777222145561649
-0.43607506281066494,0.6071894654121353
0.01844502804690058,0.46578820342003213
0.12298289943846222,0.4352761232740892
0.19907616056877622,0.41255786545497214
0.24766457559300414,0.39750543960344054
0.29744704087483353,0.3809799798226488
0.33992126519196453,0.36538444556025995
0.41994995402342966,0.33981707030653097
0.5521732302533837,0.29322431019713807
-0.6205104689455835,-0.6644302470432614
-0.7321926572180437,-0.6937392162811841
-0.5707472502371981,-0.6504195730188835
-0.34796340515374835,-0.5833382634938026
0.10501244355654295,-0.44037842876271205
0.2501747550031058,-0.39743657638953306
0.31496107325418693,-0.37738505448170095
0.35303324156168725,-0.3647233124040038
0.37183171212706645,-0.35742437598191573
0.3873884006948181,-0.3495529714061433
0.486289686530052,-0.3188878501269483
0.4734933242999876,-0.31548340014954546
-0.2615046910436939,0.548789244622039
-0.34305081537395443,0.5716455228040462
-0.12503687128015833,0.5078182979334994
0.04508559647921192,0.45802850731765665
0.15376536971083143,0.4261027193240368
0.23451074620956325,0.40192612226713526
0.2888732993606493,0.38481115414586864
0.32693409466501067,0.37169726958980104
0.3524608456762245,0.3612189642331194
0.4500193101742039,0.32993356607076496
0.01671214101162663,-0.46628146476077537
-0.11546420778375514,-0.505672213213228
0.003863616305544348,-0.4700769736630415
0.2518979290101895,-0.39439925967110395
0.45664088263179703,-0.3278136903688668
0.6472563031276176,-0.2558656368698647
-0.9059745476246551,0.7956040811644228
-1.0059178697037359,0.8130919918750248
-0.840505230288025,0.7736320285780559
0.6436960851846575,0.2697893828058915
0.8503858071668926,0.21059515486428934
0.8213129405062648,0.20337542010198817
0.6949638631651496,0.2177223821567117
-1.0458636393898697,-0.8916819452730982
-1.1498134811996064,-0.9178599848143826
-1.0268597046751973,-0.926818037260131
-0.8063369559950572,-0.8816021213257136
