x,y,z
29.004722705179557,4.997815614628278,5.970952373990152
29.25499933301567,4.824475411425538,5.923162790747203
29.30873671049171,4.782639885503809,5.912305388924949
29.351884131847953,4.750047820854934,5.902953260792449
29.398209794392947,4.721282906927593,5.894082385694677
29.439891406633667,4.699333562166327,5.886830854263727
29.510768924853814,4.669108992734696,5.875788364356081
29.56119218469391,4.65368076742904,5.869139017376321
29.644398491716203,4.63466038360032,5.859236308542139
29.72343377813301,4.625211918759822,5.85154793628384
29.837523710255727,4.624040604127786,5.842697755823023
29.90092475388453,4.629714886667967,5.838956596769342
30.023522915559045,4.651837532275778,5.833742899967546
30.14118470517723,4.688480882854698,5.831587101135956
30.316464473912266,4.771034631018525,5.8332968809324335
30.719968042519838,5.0750492558983975,5.8579525284507445
31.816225719170337,6.780341835759953,5.980735555946758
31.871431479737243,6.864806470048099,5.984712608779618
31.94649213829519,6.943982599795598,5.9851584840904675
32.01260085386311,7.003058720764015,5.98411922986942
32.19721153805607,7.132231972776315,5.976672833947789
32.365392285238,7.250342218714539,5.9826343603656325
32.629589306624254,7.373947715958638,5.985418515778283
32.98155613362901,7.507984986218037,6.001836909203187
34.3356608848644,7.701144217345987,5.905014758786482
35.399278649543504,7.707010332018399,5.8111867343466646
35.733099015447294,7.737591875371533,5.783206863234335
36.127051078925014,7.817780560991825,5.748663833569084
36.40774850893589,7.913659193905717,5.733272532966413
36.66673363424762,8.021255198091911,5.728161772014946
37.255928465440775,8.356341529876229,5.756467660906321
38.043040802091404,8.99817189887165,5.829586324991202
38.905719617804955,9.794589511889576,5.920882499014752
39.342956941401454,10.143703661432317,5.944343547277954
40.263031376597446,10.651245749835692,5.964185055948681
41.75528610382201,11.070445005989104,6.092030820343921
44.64297029712093,11.730430998687556,6.179864524317544
45.172837885199634,11.946866944476191,6.197579404704572
45.739625034346304,12.26947660914172,6.230795163522904
46.31244490585767,12.702708659945134,6.3036521329612345
47.87711083643867,14.275868328071008,6.431034650418344
48.08061200259523,14.460770835794303,6.391901650747028
48.32592222341722,14.632545251133575,6.343176390781666
48.630330289480405,14.81114460853405,6.300870708938488
48.81000682477521,14.887203772287174,6.290451890222537
49.07075364244868,14.993725638799285,6.277715606625373
50.85636693931686,15.199766794512584,6.325344777829452
51.69447472176589,15.213336678319214,6.292196886570533
52.31802425038429,15.365988758073048,6.250732559216106
52.666147891873585,15.515041005233499,6.22281026286989
53.15478725565286,15.80696741941394,6.19294272692253
54.48354651631064,16.882185898956813,6.306912477968904
55.03573279076223,17.41477796507588,6.440658029287604
55.657593577718806,17.828465932633986,6.494838711764913
56.96031827135105,18.349229532996,6.402127091458918
57.577721517718224,18.472916682217637,6.444216980648912
