x,y,z
29.0,5.0,5.833854087193799
30.499999999999996,5.7,5.5239583333333
32.0,6.4,6.0552083333333
33.5,7.1,6.0552083333333
35.0,7.800000000000001,5.701041587193799
36.5,8.5,5.701041587193799
38.0,9.2,5.701041587193799
39.5,9.899999999999999,5.833854087193799
41.0,10.600000000000001,6.033072837193799
42.5,11.3,6.033072837193799
44.0,12.0,6.165885337193799
45.5,12.700000000000001,6.165885337193799
47.0,13.4,6.165885337193799
48.5,14.1,6.165885337193799
50.0,14.799999999999999,6.2765625794729
51.5,15.5,6.1216145833333
53.0,16.2,6.1216145833333
54.5,16.9,6.1216145833333
56.0,17.6,6.1880208333333
57.5,18.3,6.5421875794729
59.0,19.0,6.3872395833333
