x,y,z
29.05736235192266,5.027566283407128,6.002883777280219
29.070812556685063,4.956593892999335,5.963082021517904
29.064687149126776,4.91566248589737,5.955624606375508
29.086112587392268,4.885649796624907,5.948125692957049
29.138498891480083,4.868530922717612,5.9410854909699875
29.238036022035352,4.878175603486706,5.935153531816224
29.347420196908708,4.928486746398472,5.936424770400711
29.46149850372317,5.022947856870138,5.945608059011314
29.544963861432336,5.1275400826378075,5.9586588375843235
29.644350527682043,5.338796052763653,5.990240506038009
29.670110726755674,5.48978079415142,6.016324702243777
29.666701537460085,5.614252318170662,6.039411558976051
29.632502270456836,5.726282693443855,6.062861141034981
29.601462694457943,5.773964355173335,6.073887063738653
29.57215581646326,5.789683928746696,6.078917403667789
29.544680337395107,5.776567323482029,6.078410201942194
29.531342479363225,5.743395697704905,6.07322697861046
29.505385068820498,5.699640341920036,6.066929119236258
29.45889776211259,5.652232000564136,6.061877864870592
29.355134461207143,5.562093004236486,6.053132566817966
29.217364091238416,5.422669031404852,6.03752240160884
29.09960361721909,5.265498920471338,6.017711582577318
28.95543212105421,5.050543393416929,5.988990786038875
28.842847249976167,4.859484554086068,5.962512875688757
28.76958722456312,4.728845965990863,5.944275449989253
28.51531277507104,4.231210899489623,5.879533373140953
28.483585488812317,4.1172985494607035,5.871585339604186
28.466860844256114,3.9918107341423594,5.861062922457496
28.50412990217323,3.786949359066722,5.855652870138074
28.59071353543232,3.545109786317518,5.8560065068456675
28.723295979482923,3.30074089606675,5.855046699365824
28.923472214612758,3.0413099942166504,5.851930657685093
29.157072148105954,2.8251671876327653,5.84878527359539
29.34022420069391,2.710506061208218,5.844907350030346
29.51678652994043,2.635683955584895,5.839462639761797
29.729300783109892,2.591422280003769,5.83004528563849
29.87629687327135,2.577191530961778,5.82202147880429
30.016747610398102,2.581642536085869,5.813474877324693
30.078692857586645,2.5894578968894875,5.809227917276035
30.125938629978123,2.603017428374231,5.805711885645861
30.149687213438664,2.6127685890185526,5.803694997982136
30.158986147212858,2.6212580552245934,5.8025587953322155
30.170644662933995,2.641293985822585,5.800942782811877
30.21599343887909,2.735664045806864,5.792330717647295
30.260576458751196,2.8699948477646156,5.7803938819496405
30.28788235672472,3.0678523801325803,5.765659329380555
30.288184388216457,3.311951767109877,5.749665374662678
30.249872032229142,3.5433701322068645,5.73722858969393
30.152504883778033,3.82363735349607,5.732145580915025
30.00504518455716,4.070813023529115,5.75323664060215
29.78189639574195,4.267109735795587,5.785339932968113
29.655269364203626,4.374402206148891,5.811301960469941
29.473731957775733,4.532449316677545,5.853732521548902
